00:00:00.800,00:00:06.806,00:00:07.941,00:00:08.441,00:00:09.009,00:00:09.576,00:00:10.110,00:00:10.643,00:00:11.177,00:00:11.711,00:00:12.245,00:00:12.779,00:00:13.313,00:00:13.847,00:00:14.381,00:00:15.015,00:00:15.648,00:00:16.282,00:00:17.150,00:00:17.917,00:00:18.485,00:00:19.152,00:00:19.886,00:00:20.587,00:00:21.287,00:00:21.988,00:00:22.856,00:00:23.423,00:00:24.090,00:00:24.758,00:00:28.828,00:02:10.096,00:02:26.713,00:03:09.589,00:03:36.015,00:05:04.904,00:06:11.337,00:08:05.985,00:09:21.327
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,24,00:00:00.800,0.8008,6.006
2,204,00:00:06.806,6.8068,1.13446666667
3,238,00:00:07.941,7.94126666667,0.5005
4,253,00:00:08.441,8.44176666667,0.567233333333
5,270,00:00:09.009,9.009,0.567233333333
6,287,00:00:09.576,9.57623333333,0.533866666667
7,303,00:00:10.110,10.1101,0.533866666667
8,319,00:00:10.643,10.6439666667,0.533866666667
9,335,00:00:11.177,11.1778333333,0.533866666667
10,351,00:00:11.711,11.7117,0.533866666667
11,367,00:00:12.245,12.2455666667,0.533866666667
12,383,00:00:12.779,12.7794333333,0.533866666667
13,399,00:00:13.313,13.3133,0.533866666667
14,415,00:00:13.847,13.8471666667,0.533866666667
15,431,00:00:14.381,14.3810333333,0.633966666667
16,450,00:00:15.015,15.015,0.633966666667
17,469,00:00:15.648,15.6489666667,0.633966666667
18,488,00:00:16.282,16.2829333333,0.867533333333
19,514,00:00:17.150,17.1504666667,0.767433333333
20,537,00:00:17.917,17.9179,0.567233333333
21,554,00:00:18.485,18.4851333333,0.667333333333
22,574,00:00:19.152,19.1524666667,0.734066666667
23,596,00:00:19.886,19.8865333333,0.7007
24,617,00:00:20.587,20.5872333333,0.7007
25,638,00:00:21.287,21.2879333333,0.7007
26,659,00:00:21.988,21.9886333333,0.867533333333
27,685,00:00:22.856,22.8561666667,0.567233333333
28,702,00:00:23.423,23.4234,0.667333333333
29,722,00:00:24.090,24.0907333333,0.667333333333
30,742,00:00:24.758,24.7580666667,4.07073333333
31,864,00:00:28.828,28.8288,101.267833333
32,3899,00:02:10.096,130.096633333,16.6166
33,4397,00:02:26.713,146.713233333,42.8761666667
34,5682,00:03:09.589,189.5894,26.4264
35,6474,00:03:36.015,216.0158,88.8888
36,9138,00:05:04.904,304.9046,66.4330333333
37,11129,00:06:11.337,371.337633333,114.647866667
38,14565,00:08:05.985,485.9855,75.3419333333
39,16823,00:09:21.327,561.327433333,8.57523333333
