00:00:06.933,00:00:28.133,00:00:33.433,00:01:03.066,00:01:20.766,00:02:34.133,00:02:36.333,00:03:25.766,00:03:57.800,00:04:03.633,00:04:45.566,00:05:07.033,00:06:20.366,00:06:53.400,00:09:37.333,00:11:20.200
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,208,00:00:06.933,6.93333333333,21.2
2,844,00:00:28.133,28.1333333333,5.3
3,1003,00:00:33.433,33.4333333333,29.6333333333
4,1892,00:01:03.066,63.0666666667,17.7
5,2423,00:01:20.766,80.7666666667,73.3666666667
6,4624,00:02:34.133,154.133333333,2.2
7,4690,00:02:36.333,156.333333333,49.4333333333
8,6173,00:03:25.766,205.766666667,32.0333333333
9,7134,00:03:57.800,237.8,5.83333333333
10,7309,00:04:03.633,243.633333333,41.9333333333
11,8567,00:04:45.566,285.566666667,21.4666666667
12,9211,00:05:07.033,307.033333333,73.3333333333
13,11411,00:06:20.366,380.366666667,33.0333333333
14,12402,00:06:53.400,413.4,163.933333333
15,17320,00:09:37.333,577.333333333,102.866666667
16,20406,00:11:20.200,680.2,4.83333333333
