00:00:00.233,00:00:04.838,00:00:05.505,00:00:06.006,00:00:06.673,00:00:07.207,00:00:07.741,00:00:08.274,00:00:08.808,00:00:09.342,00:00:09.876,00:00:10.443,00:00:11.211,00:00:11.711,00:00:12.312,00:00:13.013,00:00:13.513,00:00:14.080,00:00:14.614,00:00:15.181,00:00:15.849,00:00:16.516,00:00:17.083,00:00:17.784,00:00:18.284,00:00:18.985,00:00:19.486,00:00:20.053,00:00:20.720,00:00:21.388,00:00:22.055,00:00:22.722,00:00:23.390,00:00:24.057,00:00:24.724,00:00:25.258,00:00:25.759,00:00:26.393,00:00:27.127,00:00:27.861,00:00:28.595,00:00:29.329,00:00:30.063,00:00:30.797,00:00:31.531,00:00:32.298,00:00:33.066,00:00:33.733,00:00:34.467,00:00:34.968,00:00:36.069,00:00:36.803,00:00:37.537,00:00:38.271,00:00:39.005,00:00:39.739,00:00:40.240,00:00:40.874,00:00:41.374,00:00:47.881,00:03:20.233,00:06:58.084
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,7,00:00:00.233,0.233566666667,4.6046
2,145,00:00:04.838,4.83816666667,0.667333333333
3,165,00:00:05.505,5.5055,0.5005
4,180,00:00:06.006,6.006,0.667333333333
5,200,00:00:06.673,6.67333333333,0.533866666667
6,216,00:00:07.207,7.2072,0.533866666667
7,232,00:00:07.741,7.74106666667,0.533866666667
8,248,00:00:08.274,8.27493333333,0.533866666667
9,264,00:00:08.808,8.8088,0.533866666667
10,280,00:00:09.342,9.34266666667,0.533866666667
11,296,00:00:09.876,9.87653333333,0.567233333333
12,313,00:00:10.443,10.4437666667,0.767433333333
13,336,00:00:11.211,11.2112,0.5005
14,351,00:00:11.711,11.7117,0.6006
15,369,00:00:12.312,12.3123,0.7007
16,390,00:00:13.013,13.013,0.5005
17,405,00:00:13.513,13.5135,0.567233333333
18,422,00:00:14.080,14.0807333333,0.533866666667
19,438,00:00:14.614,14.6146,0.567233333333
20,455,00:00:15.181,15.1818333333,0.667333333333
21,475,00:00:15.849,15.8491666667,0.667333333333
22,495,00:00:16.516,16.5165,0.567233333333
23,512,00:00:17.083,17.0837333333,0.7007
24,533,00:00:17.784,17.7844333333,0.5005
25,548,00:00:18.284,18.2849333333,0.7007
26,569,00:00:18.985,18.9856333333,0.5005
27,584,00:00:19.486,19.4861333333,0.567233333333
28,601,00:00:20.053,20.0533666667,0.667333333333
29,621,00:00:20.720,20.7207,0.667333333333
30,641,00:00:21.388,21.3880333333,0.667333333333
31,661,00:00:22.055,22.0553666667,0.667333333333
32,681,00:00:22.722,22.7227,0.667333333333
33,701,00:00:23.390,23.3900333333,0.667333333333
34,721,00:00:24.057,24.0573666667,0.667333333333
35,741,00:00:24.724,24.7247,0.533866666667
36,757,00:00:25.258,25.2585666667,0.5005
37,772,00:00:25.759,25.7590666667,0.633966666667
38,791,00:00:26.393,26.3930333333,0.734066666667
39,813,00:00:27.127,27.1271,0.734066666667
40,835,00:00:27.861,27.8611666667,0.734066666667
41,857,00:00:28.595,28.5952333333,0.734066666667
42,879,00:00:29.329,29.3293,0.734066666667
43,901,00:00:30.063,30.0633666667,0.734066666667
44,923,00:00:30.797,30.7974333333,0.734066666667
45,945,00:00:31.531,31.5315,0.767433333333
46,968,00:00:32.298,32.2989333333,0.767433333333
47,991,00:00:33.066,33.0663666667,0.667333333333
48,1011,00:00:33.733,33.7337,0.734066666667
49,1033,00:00:34.467,34.4677666667,0.5005
50,1048,00:00:34.968,34.9682666667,1.1011
51,1081,00:00:36.069,36.0693666667,0.734066666667
52,1103,00:00:36.803,36.8034333333,0.734066666667
53,1125,00:00:37.537,37.5375,0.734066666667
54,1147,00:00:38.271,38.2715666667,0.734066666667
55,1169,00:00:39.005,39.0056333333,0.734066666667
56,1191,00:00:39.739,39.7397,0.5005
57,1206,00:00:40.240,40.2402,0.633966666667
58,1225,00:00:40.874,40.8741666667,0.5005
59,1240,00:00:41.374,41.3746666667,6.5065
60,1435,00:00:47.881,47.8811666667,152.3522
61,6001,00:03:20.233,200.233366667,217.850966667
62,12530,00:06:58.084,418.084333333,6.8068
