00:00:01.034,00:00:05.805,00:00:06.706,00:00:07.240,00:00:07.774,00:00:08.308,00:00:08.842,00:00:09.409,00:00:09.943,00:00:10.477,00:00:11.011,00:00:11.544,00:00:12.078,00:00:12.612,00:00:13.146,00:00:13.680,00:00:14.214,00:00:14.748,00:00:15.281,00:00:15.815,00:00:16.349,00:00:17.083,00:00:17.617,00:00:18.151,00:00:18.685,00:00:19.219,00:00:19.719,00:00:20.220,00:00:20.887,00:00:21.554,00:00:22.322,00:00:22.856,00:00:23.490,00:00:24.124,00:00:24.758,00:00:28.194,00:02:59.679,00:03:50.730,00:04:19.359,00:05:00.733,00:05:50.216
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,31,00:00:01.034,1.03436666667,4.77143333333
2,174,00:00:05.805,5.8058,0.9009
3,201,00:00:06.706,6.7067,0.533866666667
4,217,00:00:07.240,7.24056666667,0.533866666667
5,233,00:00:07.774,7.77443333333,0.533866666667
6,249,00:00:08.308,8.3083,0.533866666667
7,265,00:00:08.842,8.84216666667,0.567233333333
8,282,00:00:09.409,9.4094,0.533866666667
9,298,00:00:09.943,9.94326666667,0.533866666667
10,314,00:00:10.477,10.4771333333,0.533866666667
11,330,00:00:11.011,11.011,0.533866666667
12,346,00:00:11.544,11.5448666667,0.533866666667
13,362,00:00:12.078,12.0787333333,0.533866666667
14,378,00:00:12.612,12.6126,0.533866666667
15,394,00:00:13.146,13.1464666667,0.533866666667
16,410,00:00:13.680,13.6803333333,0.533866666667
17,426,00:00:14.214,14.2142,0.533866666667
18,442,00:00:14.748,14.7480666667,0.533866666667
19,458,00:00:15.281,15.2819333333,0.533866666667
20,474,00:00:15.815,15.8158,0.533866666667
21,490,00:00:16.349,16.3496666667,0.734066666667
22,512,00:00:17.083,17.0837333333,0.533866666667
23,528,00:00:17.617,17.6176,0.533866666667
24,544,00:00:18.151,18.1514666667,0.533866666667
25,560,00:00:18.685,18.6853333333,0.533866666667
26,576,00:00:19.219,19.2192,0.5005
27,591,00:00:19.719,19.7197,0.5005
28,606,00:00:20.220,20.2202,0.667333333333
29,626,00:00:20.887,20.8875333333,0.667333333333
30,646,00:00:21.554,21.5548666667,0.767433333333
31,669,00:00:22.322,22.3223,0.533866666667
32,685,00:00:22.856,22.8561666667,0.633966666667
33,704,00:00:23.490,23.4901333333,0.633966666667
34,723,00:00:24.124,24.1241,0.633966666667
35,742,00:00:24.758,24.7580666667,3.43676666667
36,845,00:00:28.194,28.1948333333,151.484666667
37,5385,00:02:59.679,179.6795,51.051
38,6915,00:03:50.730,230.7305,28.6286
39,7773,00:04:19.359,259.3591,41.3746666667
40,9013,00:05:00.733,300.733766667,49.4827666667
41,10496,00:05:50.216,350.216533333,5.5055
